Group,Age,Mid-1961,Mid-1962,Mid-1963,Mid-1964,Mid-1965,Mid-1966,Mid-1967,Mid-1968,Mid-1969,Mid-1970,Mid-1971,Mid-1972,Mid-1973,Mid-1974,Mid-1975,Mid-1976,Mid-1977,Mid-1978,Mid-1979,Mid-1980,Mid-1981,Mid-1982,Mid-1983,Mid-1984,Mid-1985,Mid-1986,Mid-1987,Mid-1988,Mid-1989,Mid-1990,Mid-1991,Mid-1992,Mid-1993,Mid-1994,Mid-1995,Mid-1996,Mid-1997,Mid-1998,Mid-1999,Mid-2000,Mid-2001,Mid-2002,Mid-2003,Mid-2004,Mid-2005,Mid-2006,Mid-2007,Mid-2008,Mid-2009,Mid-2010,Mid-2011,Mid-2012,Mid-2013,Mid-2014
Males,33,"296,400","300,100","300,400","302,900","295,500","289,600","284,900","289,400","293,000","295,300","300,100","299,100","296,800","276,800","295,200","321,900","337,700","334,500","338,400","428,600","388,221","360,875","347,498","337,396","330,184","336,093","337,746","331,633","341,387","347,482","358,581","365,860","375,733","391,690","397,042","407,267","414,821","417,222","414,369","415,842","406,759","403,126","393,848","398,050","388,983","375,712","358,490","353,626","349,562","345,178","351,295","375,288","389,872","389,438"
Males,34,"302,000","298,600","299,600","300,200","301,600","298,200","288,700","282,600","287,400","291,000","296,000","298,900","298,600","295,700","275,300","293,700","320,800","336,700","333,900","337,600","426,222","385,683","359,724","347,176","337,698","329,729","335,819","337,062","331,529","340,660","347,425","358,702","365,073","374,668","390,960","396,970","406,484","413,701","417,444","416,472","417,582","406,532","403,262","394,021","400,234","390,295","376,780","361,619","356,390","349,679","346,680","350,572","375,438","390,681"
Males,35,"309,300","305,100","299,000","300,100","299,700","303,200","296,400","284,800","279,500","285,000","290,200","295,200","298,100","297,500","294,200","273,700","292,700","320,000","336,300","333,000","334,311","423,202","384,829","359,979","347,061","337,219","329,176","334,897","336,641","330,558","339,842","347,186","358,450","364,655","374,016","389,610","395,811","405,531","413,540","417,746","417,048","418,007","408,023","403,570","397,354","402,105","393,517","377,788","361,484","356,835","350,452","345,802","350,384","375,609"
Males,36,"312,900","311,400","305,100","298,600","299,000","299,900","301,700","293,900","282,300","278,100","287,200","289,500","294,000","296,900","295,900","292,700","272,300","291,900","319,700","335,400","330,911","332,779","422,435","385,174","359,779","346,474","336,603","328,276","334,273","335,621","330,028","339,139","346,924","358,310","364,623","373,499","388,306","394,862","405,556","413,485","417,934","417,442","419,182","407,642","406,323","398,275","404,942","394,358","377,751","362,088","357,400","349,719","345,608","350,437"
Males,37,"317,900","314,700","311,100","304,600","297,600","298,800","298,500","299,100","291,600","280,100","276,900","286,400","288,600","292,300","295,500","293,900","291,400","271,100","291,900","319,600","333,211","328,733","331,189","422,532","384,957","359,204","346,030","335,913","327,308","333,919","335,168","329,384","338,282","346,744","358,425","364,549","372,737","387,311","394,984","405,801","413,528","418,196","418,437","418,758","409,825","407,064","400,415","406,160","394,381","378,268","362,691","356,752","349,479","345,551"
Males,38,"322,300","318,500","313,400","310,500","303,800","296,900","297,500","296,100","297,100","290,100","280,100","276,100","285,000","287,000","291,000","293,700","292,600","290,100","271,000","291,400","317,710","331,207","327,596","331,087","422,376","384,509","358,952","345,538","335,340","327,267","333,196","334,224","328,785","337,695","347,069","358,740","364,239","372,251","387,148","395,040","405,901","413,878","419,159","417,894","420,409","409,885","408,689","400,716","406,342","394,828","379,017","361,989","356,870","349,753"
Males,39,"342,400","323,100","316,200","312,100","309,900","302,700","295,500","295,300","294,400","295,900","289,900","278,900","275,900","283,400","286,300","289,500","292,600","291,000","290,100","270,500","289,809","315,624","329,943","328,210","330,947","422,099","384,459","358,577","344,771","335,789","326,953","332,788","333,676","328,618","337,723","347,350","358,815","364,292","372,819","387,034","395,276","406,753","415,206","418,627","419,203","420,201","410,777","408,823","400,023","406,933","395,495","378,444","362,122","356,716"
Males,40,"364,600","343,600","321,700","315,200","311,300","309,700","303,100","294,900","294,100","293,400","293,400","289,600","278,600","274,700","282,400","285,300","288,900","291,500","291,100","288,800","268,893","289,200","315,779","330,903","328,138","330,735","422,163","384,054","357,911","345,508","335,546","326,539","331,665","333,076","328,775","337,505","347,513","358,880","364,533","372,156","385,494","397,769","406,404","413,560","419,564","417,521","419,348","410,123","409,583","398,083","405,691","394,462","378,605","361,909"
Males,41,"351,200","363,800","341,200","320,100","313,600","311,200","308,700","301,900","292,900","292,700","293,400","293,200","288,400","277,300","274,100","281,500","284,900","288,000","291,100","290,200","287,292","268,347","288,730","315,304","330,555","327,403","330,071","421,415","383,851","358,245","344,874","334,812","326,181","331,286","332,863","328,796","337,116","347,381","359,522","365,000","371,967","387,363","397,689","404,791","414,393","417,855","416,521","418,383","410,182","407,629","396,139","404,656","394,475","378,349"
Males,42,"273,100","359,000","360,000","339,600","318,500","313,800","310,400","307,400","300,000","291,500","291,200","293,200","292,600","286,900","275,900","273,100","280,700","284,000","287,200","290,700","288,292","286,344","267,323","288,005","314,703","329,904","326,659","329,161","421,112","382,819","357,474","343,785","333,715","325,853","330,957","332,797","328,670","336,718","347,923","360,026","364,895","373,687","387,208","396,771","405,591","413,199","416,866","415,342","418,115","407,789","405,713","395,357","404,688","394,397"
Males,43,"252,400","268,200","362,600","357,100","337,700","318,300","312,500","308,600","305,600","298,800","290,800","290,100","292,300","291,200","286,100","274,900","272,700","280,000","283,400","286,500","288,892","287,244","285,218","266,449","287,480","313,818","329,161","325,647","328,529","419,675","382,195","356,535","343,017","332,843","325,840","330,485","332,323","328,499","336,825","348,749","360,201","366,354","373,474","385,828","397,834","404,488","412,490","415,738","414,866","415,628","405,426","404,697","395,228","404,660"
